temperature,city,pression,date
275.23,Paris,1036,2025-01-14 12-01
269.05,Washington,1036,2025-01-14 12-01
280.89,London,1035,2025-01-14 12-00
275.23,Paris,1036,2025-01-14 12-00
269.05,Washington,1036,2025-01-14 12-00
280.66,London,1035,2025-01-14 11-59
275.18,Paris,1036,2025-01-14 11-59
269.05,Washington,1036,2025-01-14 11-59
280.66,London,1035,2025-01-14 11-58
275.18,Paris,1036,2025-01-14 11-58
269.05,Washington,1036,2025-01-14 11-58
280.75,London,1035,2025-01-14 11-57
275.18,Paris,1036,2025-01-14 11-57
269.05,Washington,1036,2025-01-14 11-57
280.75,London,1035,2025-01-14 11-56
275.18,Paris,1036,2025-01-14 11-56
269.05,Washington,1036,2025-01-14 11-56
280.66,London,1035,2025-01-14 11-54
275.18,Paris,1036,2025-01-14 11-54
269.05,Washington,1036,2025-01-14 11-54
280.59,London,1035,2025-01-14 11-53
274.9,Paris,1036,2025-01-14 11-53
269.05,Washington,1036,2025-01-14 11-53
280.63,London,1035,2025-01-14 11-52
275.01,Paris,1036,2025-01-14 11-52
269.05,Washington,1036,2025-01-14 11-52
280.63,London,1035,2025-01-14 11-51
275.01,Paris,1036,2025-01-14 11-51
269.05,Washington,1036,2025-01-14 11-51
280.63,London,1035,2025-01-14 11-50
275.01,Paris,1036,2025-01-14 11-50
269.05,Washington,1036,2025-01-14 11-50
280.49,London,1035,2025-01-14 11-49
275.01,Paris,1036,2025-01-14 11-49
269.05,Washington,1036,2025-01-14 11-49
280.49,London,1035,2025-01-14 11-48
275.01,Paris,1036,2025-01-14 11-48
269.05,Washington,1036,2025-01-14 11-48
280.49,London,1035,2025-01-14 11-47
274.9,Paris,1036,2025-01-14 11-47
269.05,Washington,1036,2025-01-14 11-47
280.49,London,1035,2025-01-14 11-46
274.9,Paris,1036,2025-01-14 11-46
269.05,Washington,1036,2025-01-14 11-46
280.49,London,1035,2025-01-14 11-45
274.73,Paris,1036,2025-01-14 11-45
269.05,Washington,1036,2025-01-14 11-45
280.49,London,1035,2025-01-14 11-44
274.73,Paris,1036,2025-01-14 11-44
269.05,Washington,1036,2025-01-14 11-44
280.49,London,1035,2025-01-14 11-43
274.73,Paris,1036,2025-01-14 11-43
269.05,Washington,1036,2025-01-14 11-43
280.49,London,1035,2025-01-14 11-42
274.9,Paris,1036,2025-01-14 11-42
269.05,Washington,1036,2025-01-14 11-42
280.49,London,1035,2025-01-14 11-41
274.9,Paris,1036,2025-01-14 11-41
269.05,Washington,1036,2025-01-14 11-41
280.49,London,1035,2025-01-14 11-40
274.9,Paris,1036,2025-01-14 11-40
269.05,Washington,1036,2025-01-14 11-40
280.0,London,1035,2025-01-14 11-39
274.9,Paris,1036,2025-01-14 11-39
269.05,Washington,1036,2025-01-14 11-39
280.0,London,1035,2025-01-14 11-38
274.9,Paris,1036,2025-01-14 11-38
269.05,Washington,1036,2025-01-14 11-38
280.0,London,1035,2025-01-14 11-37
274.82,Paris,1037,2025-01-14 11-37
269.05,Washington,1036,2025-01-14 11-37
280.0,London,1035,2025-01-14 11-36
274.82,Paris,1037,2025-01-14 11-36
269.05,Washington,1036,2025-01-14 11-36
279.98,London,1035,2025-01-14 11-35
274.73,Paris,1036,2025-01-14 11-35
269.05,Washington,1036,2025-01-14 11-35
279.98,London,1035,2025-01-14 11-34
274.73,Paris,1036,2025-01-14 11-34
269.05,Washington,1036,2025-01-14 11-34
280.0,London,1035,2025-01-14 11-33
274.82,Paris,1037,2025-01-14 11-33
269.05,Washington,1036,2025-01-14 11-33
280.0,London,1035,2025-01-14 11-32
274.82,Paris,1037,2025-01-14 11-32
269.05,Washington,1036,2025-01-14 11-32
279.89,London,1035,2025-01-14 11-31
274.82,Paris,1037,2025-01-14 11-31
269.05,Washington,1036,2025-01-14 11-31
279.89,London,1035,2025-01-14 11-30
274.82,Paris,1037,2025-01-14 11-30
269.05,Washington,1036,2025-01-14 11-30
279.89,London,1035,2025-01-14 11-29
274.82,Paris,1037,2025-01-14 11-29
269.05,Washington,1036,2025-01-14 11-29
279.89,London,1035,2025-01-14 11-28
274.82,Paris,1037,2025-01-14 11-28
269.05,Washington,1036,2025-01-14 11-28
279.89,London,1035,2025-01-14 11-25
274.47,Paris,1037,2025-01-14 11-25
269.05,Washington,1036,2025-01-14 11-25
279.89,London,1035,2025-01-14 11-24
274.47,Paris,1037,2025-01-14 11-24
269.05,Washington,1036,2025-01-14 11-24
279.89,London,1035,2025-01-14 11-23
274.47,Paris,1037,2025-01-14 11-23
269.05,Washington,1036,2025-01-14 11-23
279.89,London,1035,2025-01-14 11-22
274.47,Paris,1037,2025-01-14 11-22
269.05,Washington,1036,2025-01-14 11-22
279.89,London,1035,2025-01-14 11-21
274.47,Paris,1037,2025-01-14 11-21
269.05,Washington,1036,2025-01-14 11-21
279.89,London,1035,2025-01-14 11-20
274.47,Paris,1037,2025-01-14 11-20
269.05,Washington,1036,2025-01-14 11-20
279.89,London,1035,2025-01-14 11-19
274.47,Paris,1037,2025-01-14 11-19
269.05,Washington,1036,2025-01-14 11-19
279.89,London,1035,2025-01-14 11-18
274.47,Paris,1037,2025-01-14 11-18
269.05,Washington,1036,2025-01-14 11-18
279.89,London,1035,2025-01-14 11-17
274.47,Paris,1037,2025-01-14 11-17
269.05,Washington,1036,2025-01-14 11-17
279.89,London,1035,2025-01-14 11-16
274.47,Paris,1037,2025-01-14 11-16
269.05,Washington,1036,2025-01-14 11-16
279.89,London,1035,2025-01-14 11-15
274.47,Paris,1037,2025-01-14 11-15
269.05,Washington,1036,2025-01-14 11-15
279.89,London,1035,2025-01-14 11-14
274.47,Paris,1037,2025-01-14 11-14
269.05,Washington,1036,2025-01-14 11-14
279.89,London,1035,2025-01-14 11-13
274.47,Paris,1037,2025-01-14 11-13
269.05,Washington,1036,2025-01-14 11-13
279.89,London,1035,2025-01-14 11-12
274.47,Paris,1037,2025-01-14 11-12
269.05,Washington,1036,2025-01-14 11-12
279.89,London,1035,2025-01-14 11-11
274.47,Paris,1037,2025-01-14 11-11
269.05,Washington,1036,2025-01-14 11-11
279.89,London,1035,2025-01-14 11-10
274.47,Paris,1037,2025-01-14 11-10
269.05,Washington,1036,2025-01-14 11-10
279.68,London,1035,2025-01-14 11-09
274.47,Paris,1037,2025-01-14 11-09
269.05,Washington,1036,2025-01-14 11-09
279.68,London,1035,2025-01-14 11-08
274.47,Paris,1037,2025-01-14 11-08
269.05,Washington,1036,2025-01-14 11-08
279.68,London,1035,2025-01-14 11-07
274.47,Paris,1037,2025-01-14 11-07
269.05,Washington,1036,2025-01-14 11-07
279.68,London,1035,2025-01-14 11-06
274.24,Paris,1037,2025-01-14 11-06
269.05,Washington,1036,2025-01-14 11-06
279.68,London,1035,2025-01-14 11-05
274.24,Paris,1037,2025-01-14 11-05
269.05,Washington,1036,2025-01-14 11-05
279.68,London,1035,2025-01-14 11-04
274.24,Paris,1037,2025-01-14 11-04
269.05,Washington,1036,2025-01-14 11-04
279.68,London,1035,2025-01-14 11-03
274.24,Paris,1037,2025-01-14 11-03
269.05,Washington,1036,2025-01-14 11-03
279.68,London,1035,2025-01-14 11-02
274.26,Paris,1037,2025-01-14 11-02
269.05,Washington,1036,2025-01-14 11-02
279.68,London,1035,2025-01-14 11-01
274.26,Paris,1037,2025-01-14 11-01
269.05,Washington,1036,2025-01-14 11-01
279.68,London,1035,2025-01-14 11-00
274.26,Paris,1037,2025-01-14 11-00
269.05,Washington,1036,2025-01-14 11-00
279.68,London,1035,2025-01-14 10-59
274.26,Paris,1037,2025-01-14 10-59
269.05,Washington,1036,2025-01-14 10-59
279.44,London,1035,2025-01-14 10-58
274.22,Paris,1037,2025-01-14 10-58
269.05,Washington,1036,2025-01-14 10-58
279.44,London,1035,2025-01-14 10-57
274.22,Paris,1037,2025-01-14 10-57
269.05,Washington,1036,2025-01-14 10-57
279.62,London,1035,2025-01-14 10-56
274.24,Paris,1037,2025-01-14 10-56
269.05,Washington,1036,2025-01-14 10-56
279.62,London,1035,2025-01-14 10-55
274.22,Paris,1037,2025-01-14 10-55
269.05,Washington,1036,2025-01-14 10-55
279.62,London,1035,2025-01-14 10-54
274.22,Paris,1037,2025-01-14 10-54
269.05,Washington,1036,2025-01-14 10-54
